center_RA,center_DEC,center_RA_current,center_DEC_current,g_star,g_gal,galaxies,P_raw,P_norm,klasa
14h02m05.3s,+02d00m00.0s,14h03m26.3s,+01d52m22.6s,29,0,,0,0.0,none
14h00m05.3s,+02d00m00.0s,14h01m26.3s,+01d52m20.3s,29,0,,0,0.0,none
13h58m05.2s,+02d00m00.0s,13h59m26.2s,+01d52m18.0s,27,0,,0,0.0,none
13h56m05.1s,+02d00m00.0s,13h57m26.1s,+01d52m15.7s,28,0,,0,0.0,none
13h43m34.5s,-17d00m00.0s,13h45m00.9s,-17d07m57.7s,48,0,,0,0.0,none
13h50m04.9s,+02d00m00.0s,13h51m26.0s,+01d52m09.1s,20,0,,0,0.0,none
13h48m04.8s,+02d00m00.0s,13h49m25.9s,+01d52m06.9s,21,0,,0,0.0,none
13h46m04.8s,+02d00m00.0s,13h47m25.8s,+01d52m04.8s,22,0,,0,0.0,none
13h44m04.7s,+02d00m00.0s,13h45m25.8s,+01d52m02.7s,26,0,,0,0.0,none
13h42m04.6s,+02d00m00.0s,13h43m25.7s,+01d52m00.7s,32,0,,0,0.0,none
13h40m04.5s,+02d00m00.0s,13h41m25.6s,+01d51m58.7s,30,0,,0,0.0,none
13h38m04.5s,+02d00m00.0s,13h39m25.6s,+01d51m56.8s,34,0,,0,0.0,none
14h40m06.7s,+02d00m00.0s,14h41m27.6s,+01d53m13.8s,23,0,,0,0.0,none
13h41m29.0s,-17d00m00.0s,13h42m55.3s,-17d07m59.8s,38,0,,0,0.0,none
14h34m06.5s,+02d00m00.0s,14h35m27.4s,+01d53m04.9s,20,0,,0,0.0,none
14h32m06.4s,+02d00m00.0s,14h33m27.3s,+01d53m02.0s,28,0,,0,0.0,none
14h30m06.4s,+02d00m00.0s,14h31m27.2s,+01d52m59.2s,37,0,,0,0.0,none
14h28m06.3s,+02d00m00.0s,14h29m27.2s,+01d52m56.3s,40,0,,0,0.0,none
14h26m06.2s,+02d00m00.0s,14h27m27.1s,+01d52m53.5s,32,0,,0,0.0,none
14h24m06.1s,+02d00m00.0s,14h25m27.0s,+01d52m50.8s,31,0,,0,0.0,none
14h22m06.1s,+02d00m00.0s,14h23m27.0s,+01d52m48.1s,29,0,,0,0.0,none
14h20m06.0s,+02d00m00.0s,14h21m26.9s,+01d52m45.4s,26,0,,0,0.0,none
